trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops,area_id,service_area_radius
t_10162_b_none_tn_0,11:36:00,11:36:00,781740,6,,0,0,4858.20160798,0,0,,
t_10163_b_none_tn_0,11:32:00,11:32:00,781715,1,,0,0,0,0,0,,
t_10163_b_none_tn_0,11:40:00,11:40:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10163_b_none_tn_0,11:42:00,11:42:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10163_b_none_tn_0,11:43:00,11:43:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10163_b_none_tn_0,11:44:00,11:44:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10163_b_none_tn_0,11:46:00,11:46:00,781740,6,,0,0,4858.20160798,0,0,,
t_10164_b_none_tn_0,11:42:00,11:42:00,781715,1,,0,0,0,0,0,,
t_10164_b_none_tn_0,11:50:00,11:50:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10164_b_none_tn_0,11:52:00,11:52:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10164_b_none_tn_0,11:53:00,11:53:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10164_b_none_tn_0,11:54:00,11:54:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10164_b_none_tn_0,11:56:00,11:56:00,781740,6,,0,0,4858.20160798,0,0,,
t_10165_b_none_tn_0,11:52:00,11:52:00,781715,1,,0,0,0,0,0,,
t_10165_b_none_tn_0,12:00:00,12:00:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10165_b_none_tn_0,12:02:00,12:02:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10165_b_none_tn_0,12:03:00,12:03:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10165_b_none_tn_0,12:04:00,12:04:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10165_b_none_tn_0,12:06:00,12:06:00,781740,6,,0,0,4858.20160798,0,0,,
t_10166_b_none_tn_0,12:02:00,12:02:00,781715,1,,0,0,0,0,0,,
t_10166_b_none_tn_0,12:10:00,12:10:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10166_b_none_tn_0,12:12:00,12:12:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10166_b_none_tn_0,12:13:00,12:13:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10166_b_none_tn_0,12:14:00,12:14:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10166_b_none_tn_0,12:16:00,12:16:00,781740,6,,0,0,4858.20160798,0,0,,
t_10167_b_none_tn_0,12:12:00,12:12:00,781715,1,,0,0,0,0,0,,
t_10167_b_none_tn_0,12:20:00,12:20:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10167_b_none_tn_0,12:22:00,12:22:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10167_b_none_tn_0,12:23:00,12:23:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10167_b_none_tn_0,12:24:00,12:24:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10167_b_none_tn_0,12:26:00,12:26:00,781740,6,,0,0,4858.20160798,0,0,,
t_10168_b_none_tn_0,12:22:00,12:22:00,781715,1,,0,0,0,0,0,,
t_10168_b_none_tn_0,12:30:00,12:30:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10168_b_none_tn_0,12:32:00,12:32:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10168_b_none_tn_0,12:33:00,12:33:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10168_b_none_tn_0,12:34:00,12:34:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10168_b_none_tn_0,12:36:00,12:36:00,781740,6,,0,0,4858.20160798,0,0,,
t_10169_b_none_tn_0,12:32:00,12:32:00,781715,1,,0,0,0,0,0,,
t_10169_b_none_tn_0,12:40:00,12:40:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10169_b_none_tn_0,12:42:00,12:42:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10169_b_none_tn_0,12:43:00,12:43:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10169_b_none_tn_0,12:44:00,12:44:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10169_b_none_tn_0,12:46:00,12:46:00,781740,6,,0,0,4858.20160798,0,0,,
t_10170_b_none_tn_0,12:42:00,12:42:00,781715,1,,0,0,0,0,0,,
t_10170_b_none_tn_0,12:50:00,12:50:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10170_b_none_tn_0,12:52:00,12:52:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10170_b_none_tn_0,12:53:00,12:53:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10170_b_none_tn_0,12:54:00,12:54:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10170_b_none_tn_0,12:56:00,12:56:00,781740,6,,0,0,4858.20160798,0,0,,
t_10171_b_none_tn_0,12:52:00,12:52:00,781715,1,,0,0,0,0,0,,
t_10171_b_none_tn_0,13:00:00,13:00:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10171_b_none_tn_0,13:02:00,13:02:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10171_b_none_tn_0,13:03:00,13:03:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10171_b_none_tn_0,13:04:00,13:04:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10171_b_none_tn_0,13:06:00,13:06:00,781740,6,,0,0,4858.20160798,0,0,,
t_10172_b_none_tn_0,13:02:00,13:02:00,781715,1,,0,0,0,0,0,,
t_10172_b_none_tn_0,13:10:00,13:10:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10172_b_none_tn_0,13:12:00,13:12:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10172_b_none_tn_0,13:13:00,13:13:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10172_b_none_tn_0,13:14:00,13:14:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10172_b_none_tn_0,13:16:00,13:16:00,781740,6,,0,0,4858.20160798,0,0,,
t_10173_b_none_tn_0,13:12:00,13:12:00,781715,1,,0,0,0,0,0,,
t_10173_b_none_tn_0,13:20:00,13:20:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10173_b_none_tn_0,13:22:00,13:22:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10173_b_none_tn_0,13:23:00,13:23:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10173_b_none_tn_0,13:24:00,13:24:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10173_b_none_tn_0,13:26:00,13:26:00,781740,6,,0,0,4858.20160798,0,0,,
t_10174_b_none_tn_0,13:22:00,13:22:00,781715,1,,0,0,0,0,0,,
t_10174_b_none_tn_0,13:30:00,13:30:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10174_b_none_tn_0,13:32:00,13:32:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10174_b_none_tn_0,13:33:00,13:33:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10174_b_none_tn_0,13:34:00,13:34:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10174_b_none_tn_0,13:36:00,13:36:00,781740,6,,0,0,4858.20160798,0,0,,
t_10175_b_none_tn_0,13:32:00,13:32:00,781715,1,,0,0,0,0,0,,
t_10175_b_none_tn_0,13:40:00,13:40:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10175_b_none_tn_0,13:42:00,13:42:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10175_b_none_tn_0,13:43:00,13:43:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10175_b_none_tn_0,13:44:00,13:44:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10175_b_none_tn_0,13:46:00,13:46:00,781740,6,,0,0,4858.20160798,0,0,,
t_10176_b_none_tn_0,13:42:00,13:42:00,781715,1,,0,0,0,0,0,,
t_10176_b_none_tn_0,13:50:00,13:50:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10176_b_none_tn_0,13:52:00,13:52:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10176_b_none_tn_0,13:53:00,13:53:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10176_b_none_tn_0,13:54:00,13:54:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10176_b_none_tn_0,13:56:00,13:56:00,781740,6,,0,0,4858.20160798,0,0,,
t_10177_b_none_tn_0,13:52:00,13:52:00,781715,1,,0,0,0,0,0,,
t_10177_b_none_tn_0,14:00:00,14:00:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10177_b_none_tn_0,14:02:00,14:02:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10177_b_none_tn_0,14:03:00,14:03:00,781736,4,,0,0,3364.79013336394,0,0,,
